dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
'TIL DEATH TATTOO,92113,60730033053,{},{},TATTOO PARLORS - BOOTH RENTAL,LOGAN AVE,{},0
(W)RIGHT ON COMMUNICATIONS INC,92037,60730082002,"{""060730178113"":4,""530610532023"":4,""060590525272"":4,""060379200152"":4,""420199124023"":4,""060650420052"":4}","{""060730085061"":4,""040131048011"":4,""530530734044"":4,""060730171071"":4,""060730185143"":4,""132930105003"":4,""060590525272"":4}",PUBLIC RELATIONS AGENCIES,PROSPECT ST,"{'06073017811': 4, '53061053202': 4, '06059052527': 4, '06037920015': 4, '42019912402': 4, '06065042005': 4}",0.111909443
1 A LIVESCAN SAN DIEGO,92116,60730018006,"{""060730017003"":4,""060730170212"":4}","{""060730170542"":4,""060590525274"":4,""060650418081"":4}","ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",ADAMS AVE,"{'06073001700': 4, '06073017021': 4}",0.28600239
1 AMERICAN LIVESCAN,92123,60730093064,"{""060730092011"":5,""060730095051"":4,""060730133012"":4,""060730093064"":4,""060730168041"":4,""060730200163"":4,""060730087021"":4}","{""060730034042"":5,""060730031033"":4,""060730097052"":4,""060730134191"":4,""060730095111"":4,""060650432472"":4,""060730030031"":4,""060730146021"":4,""060730096034"":4,""060730093061"":4}",INVESTIGATION SERVICES,MURPHY CANYON RD,"{'06073009201': 5, '06073009505': 4, '06073013301': 4, '06073009306': 4, '06073016804': 4, '06073020016': 4, '06073008702': 4}",0.814787665
113FM RADIO NETWORK,92101,60730052001,"{""060730052002"":4,""060650427281"":4}","{""060730052001"":5,""060730170421"":4,""320030034151"":4,""060730100141"":4,""060650427281"":4,""060730054001"":4}",BROADCASTING & TELECOMMUNICATIONS,15TH ST,"{'06073005200': 4, '06065042728': 4}",0.449671571
1490 AIRWING ROAD LLC,92154,60730100141,{},"{""201550012002"":4,""060730100141"":4}",LESSORS OF OTHER REAL ESTATE PROPERTY,AIR WING RD,{},0
1626 WEALTH MANAGEMENT INC,92130,60730083332,"{""060730083331"":6,""060730083353"":4,""060590875033"":4,""060730083302"":4}","{""060374326012"":4,""060730200172"":4}",INVESTMENT BANKING & SECURITIES DEALING,CARMEL MOUNTAIN RD,"{'06073008333': 6, '06073008335': 4, '06059087503': 4, '06073008330': 4}",0.341521544
1798 LLC,92037,60730082002,"{""060590320441"":4,""060730083651"":4,""060730156013"":4,""060650505005"":4,""060730133101"":4,""060730081021"":4,""060590019032"":4}","{""060730083032"":4,""040134226393"":4,""060730136044"":4,""040130715161"":4,""260992218001"":4,""060730027121"":4,""060730039024"":4,""060590019032"":4}",CONSULTING SERVICES,PROSPECT ST,"{'06059032044': 4, '06073008365': 4, '06073015601': 4, '06065050500': 4, '06073013310': 4, '06073008102': 4, '06059001903': 4}",0.619247854
1904 ENTERTAINMENT LLC,92101,60730052001,"{""060730099021"":4,""060730027034"":4,""060670051012"":4,""060730056002"":4,""060730052001"":4}","{""060730127001"":4,""060730133131"":4,""530530609051"":4,""060650432402"":4,""060730032111"":4}",RETAIL TRADE,BROADWAY nan,"{'06073009902': 4, '06073002703': 4, '06067005101': 4, '06073005600': 4, '06073005200': 4}",0.78551477
1CALL4CARE LLC,92111,60730085111,"{""060730027074"":4}",{},CONSULTING SERVICES,VICKERS ST,{'06073002707': 4},0.417177319
1REALTOUR LLC,92115,60730028042,"{""060590422051"":4}",{},COMPUTER SYSTEMS DESIGN SERVICES,ADAMS AVE,{'06059042205': 4},0
2-D STAGE LIGHTING ELECTRIC INC,92154,60730132051,"{""060730101062"":4}","{""060730101062"":4,""060730023023"":4}",ELECTRICAL CONTRACTORS,VERUS ST,{'06073010106': 4},0.562497083
2013061391,92037,60730083611,"{""060730083621"":4,""060730089014"":4,""060730085012"":4,""482015108002"":4}","{""060730031092"":4,""482015108003"":4,""060730083611"":4,""060710073023"":4,""060730218001"":4,""060650430082"":4}",FULL-SERVICE RESTAURANTS,HOLIDAY CT,"{'06073008362': 4, '06073008901': 4, '06073008501': 4, '48201510800': 4}",0.365848251
2321 5TH AVE LLC,92101,60730059001,"{""060730040002"":4,""060730058001"":4,""060730032093"":4}","{""060590015043"":4,""060730032093"":4,""517600605001"":4}",LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),5TH AVE,"{'06073004000': 4, '06073005800': 4, '06073003209': 4}",0.777437884
24 HOUR FITNESS,92119,60730098041,"{""060730150004"":6,""060730140022"":4,""060730028034"":4,""060730136051"":4,""060730136013"":4,""060730098011"":4,""060730147001"":4,""060730162012"":4,""060730096042"":4,""060730098043"":4,""060730138011"":4,""060730135032"":4,""060730161002"":4,""060730098041"":4,""060730153012"":4,""060730150002"":4,""060730035013"":4}","{""060730157042"":4,""060730085111"":4,""260992308002"":4,""060730098043"":4,""060730148042"":4,""060730166054"":4,""060730170423"":4,""060730150004"":4,""060730161002"":4,""060730098053"":4,""060730150002"":4,""060730135032"":4,""060730170473"":4,""060730140022"":4,""060730035013"":4,""060730028042"":4,""060730162013"":4,""060730142001"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,NAVAJO RD,"{'06073015000': 6, '06073014002': 4, '06073002803': 4, '06073013605': 4, '06073013601': 4, '06073009801': 4, '06073014700': 4, '06073016201': 4, '06073009604': 4, '06073009804': 4, '06073013801': 4, '06073013503': 4, '06073016100': 4, '06073015301': 4, '06073003501': 4}",0.993928079
24 HOUR FITNESS 872,92113,60730033012,"{""060730144002"":5,""060730201081"":5,""060730141021"":4,""060730032011"":4,""060730130003"":4,""060730065001"":4,""170978630031"":4,""060730032082"":4,""060730035022"":4,""060730042001"":4,""060650427291"":4,""060730010004"":4,""060730031032"":4,""060730085043"":4}","{""060730004002"":7,""060730085111"":6,""060730054004"":5,""060730127001"":4,""060730039022"":4,""060730118012"":4,""060730083501"":4,""060730046001"":4,""060730040003"":4,""060730027051"":4,""060730026021"":4,""060730079034"":4,""060730100142"":4,""060730035012"":4,""060730033042"":4,""060730033012"":4,""170978630031"":4,""060730079032"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,IMPERIAL AVE,"{'06073014400': 5, '06073020108': 5, '06073014102': 4, '06073003201': 4, '06073013000': 4, '06073006500': 4, '17097863003': 4, '06073003208': 4, '06073003502': 4, '06073004200': 4, '06065042729': 4, '06073001000': 4, '06073003103': 4, '06073008504': 4}",0.981479512
24 HOUR FITNESS 888,92122,60730083402,"{""060730083552"":8,""060730186112"":8,""020200025022"":4,""060730056002"":4,""060730083432"":4}","{""060730083121"":7,""060730056002"":4,""060730083331"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,LA JOLLA VILLAGE DR,"{'06073008355': 8, '06073018611': 8, '02020002502': 4, '06073005600': 4, '06073008343': 4}",0.755311176
28TH OIL INC,92113,60730039023,"{""060730148033"":19,""060730108002"":4,""060730027034"":4,""060730134213"":4,""060730093041"":4}","{""060730148033"":12,""060730050001"":5,""060730038001"":4,""530350814001"":4,""060730132051"":4,""060730032022"":4}",GASOLINE STATIONS,S 28TH ST,"{'06073014803': 19, '06073010800': 4, '06073002703': 4, '06073013421': 4, '06073009304': 4}",0.906141459
3 L LABORATORIES,92121,60730083461,"{""060730083631"":4}",{},MISCELLANEOUS MFG,LUSK BLVD,{'06073008363': 4},0.084537857
30TH STREET LAUNDRY,92104,60730014002,"{""060730079082"":4,""060730015002"":4,""060730116011"":4}","{""060730050001"":5,""060730042002"":4,""060730097042"":4}",COIN-OPERATED LAUNDRIES & DRYCLEANERS,30TH ST,"{'06073007908': 4, '06073001500': 4, '06073011601': 4}",0.67264934
4 LIBERTY INC,92123,60730093013,{},{},CONSULTING SERVICES,AERO DR,{},0
