dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,lat,lng,Incoming_Visitor_home_census_blocks,POI_risk_final
(W)RIGHT ON COMMUNICATIONS INC,92037,60730082002.0,"{""060730178113"":4,""530610532023"":4,""060590525272"":4,""060379200152"":4,""420199124023"":4,""060650420052"":4}","{""060730085061"":4,""040131048011"":4,""530530734044"":4,""060730171071"":4,""060730185143"":4,""132930105003"":4,""060590525272"":4}",PUBLIC RELATIONS AGENCIES,PROSPECT ST,32.84892931,-117.27257009999998,"{'06073017811': 4, '53061053202': 4, '06059052527': 4, '06037920015': 4, '42019912402': 4, '06065042005': 4}",0.11190944320232954
1 A LIVESCAN SAN DIEGO,92116,60730018006.0,"{""060730017003"":4,""060730170212"":4}","{""060730170542"":4,""060590525274"":4,""060650418081"":4}","ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",ADAMS AVE,32.76343179,-117.12493909999998,"{'06073001700': 4, '06073017021': 4}",0.2860023904491231
1 AMERICAN LIVESCAN,92123,60730093064.0,"{""060730031131"":4,""060730121021"":4,""471570201021"":4,""060730154052"":4,""060730031033"":4,""060730157031"":4,""060730030031"":4,""061130103021"":4,""060730019002"":4}","{""060730071003"":5,""060730170313"":4,""060730131021"":4,""060730203052"":4,""060730101091"":4,""060730092011"":4,""060730095052"":4,""060730095111"":4,""060730170562"":4}",INVESTIGATION SERVICES,MURPHY CANYON RD,32.80893652,-117.1162847,"{'06073003113': 4, '06073012102': 4, '47157020102': 4, '06073015405': 4, '06073003103': 4, '06073015703': 4, '06073003003': 4, '06113010302': 4, '06073001900': 4}",0.934388246863052
113FM RADIO NETWORK,92101,60730052001.0,"{""060730052002"":4,""060650427281"":4}","{""060730052001"":5,""060730170421"":4,""320030034151"":4,""060730100141"":4,""060650427281"":4,""060730054001"":4}",BROADCASTING & TELECOMMUNICATIONS,15TH ST,32.714123,-117.15039,"{'06073005200': 4, '06065042728': 4}",0.4496715709632427
1626 WEALTH MANAGEMENT INC,92130,60730083332.0,"{""060730083331"":6,""060730083353"":4,""060590875033"":4,""060730083302"":4}","{""060374326012"":4,""060730200172"":4}",INVESTMENT BANKING & SECURITIES DEALING,CARMEL MOUNTAIN RD,32.91859078,-117.2335608,"{'06073008333': 6, '06073008335': 4, '06059087503': 4, '06073008330': 4}",0.3415215436082698
1798 LLC,92037,60730082002.0,"{""060590320441"":4,""060730083651"":4,""060730156013"":4,""060650505005"":4,""060730133101"":4,""060730081021"":4,""060590019032"":4}","{""060730083032"":4,""040134226393"":4,""060730136044"":4,""040130715161"":4,""260992218001"":4,""060730027121"":4,""060730039024"":4,""060590019032"":4}",CONSULTING SERVICES,PROSPECT ST,32.8464722,-117.2757287,"{'06059032044': 4, '06073008365': 4, '06073015601': 4, '06065050500': 4, '06073013310': 4, '06073008102': 4, '06059001903': 4}",0.6192478543753586
1904 ENTERTAINMENT LLC,92101,60730052001.0,"{""060730099021"":4,""060730027034"":4,""060670051012"":4,""060730056002"":4,""060730052001"":4}","{""060730127001"":4,""060730133131"":4,""530530609051"":4,""060650432402"":4,""060730032111"":4}",RETAIL TRADE,BROADWAY nan,32.71575,-117.149414,"{'06073009902': 4, '06073002703': 4, '06067005101': 4, '06073005600': 4, '06073005200': 4}",0.7855147695115916
1CALL4CARE LLC,92111,60730085111.0,"{""060730027074"":4}",{},CONSULTING SERVICES,VICKERS ST,32.82722887,-117.1464092,{'06073002707': 4},0.4171773187398767
2-D STAGE LIGHTING ELECTRIC INC,92154,60730132051.0,"{""060730101062"":4}","{""060730101062"":4,""060730023023"":4}",ELECTRICAL CONTRACTORS,VERUS ST,32.59337678,-117.0874273,{'06073010106': 4},0.5624970826698741
2013061391,92037,60730083611.0,"{""060730083621"":4,""060730089014"":4,""060730085012"":4,""482015108002"":4}","{""060730031092"":4,""482015108003"":4,""060730083611"":4,""060710073023"":4,""060730218001"":4,""060650430082"":4}",FULL-SERVICE RESTAURANTS,HOLIDAY CT,32.87024508,-117.23364,"{'06073008362': 4, '06073008901': 4, '06073008501': 4, '48201510800': 4}",0.3658482511076248
